time,original_value,simulated_value
2025-07-31T14:00:00+00:00,2.379795906516133,2.022826520538713
2025-07-31T15:00:00+00:00,2.2256575794922417,1.8918089425684055
2025-07-31T16:00:00+00:00,2.300169431100614,1.9551440164355216
2025-07-31T17:00:00+00:00,2.39765757663252,2.038008940137642
2025-07-31T18:00:00+00:00,2.4126209828901106,2.050727835456594
2025-07-31T19:00:00+00:00,2.4052461865675197,2.0444592585823917
2025-07-31T20:00:00+00:00,2.4249665530890203,2.0612215701256673
2025-07-31T21:00:00+00:00,2.413805024580872,2.051734270893741
2025-07-31T22:00:00+00:00,2.4545423822422583,2.0863610249059197
2025-07-31T23:00:00+00:00,2.4265828595739896,2.062595430637891
2025-08-01T00:00:00+00:00,2.4595012931839983,2.0905760992063986
2025-08-01T01:00:00+00:00,2.4338022857383432,2.0687319428775917
2025-08-01T02:00:00+00:00,2.4415334850028696,2.075303462252439
2025-08-01T03:00:00+00:00,2.443498955560462,2.0769741122263925
2025-08-01T04:00:00+00:00,2.4480127284414777,2.080810819175256
2025-08-01T05:00:00+00:00,2.5033774034716627,2.127870792950913
2025-08-01T06:00:00+00:00,2.5071282720576944,2.1310590312490403
2025-08-01T07:00:00+00:00,2.5074511998041666,2.1313335198335417
2025-08-01T08:00:00+00:00,2.3931863360038808,2.0342083856032986
2025-08-01T09:00:00+00:00,2.397405534823037,2.0377947045995812
2025-08-01T10:00:00+00:00,2.3811149108110126,2.0239476741893605
2025-08-01T11:00:00+00:00,2.3776669821953513,2.0210169348660485
2025-08-01T12:00:00+00:00,2.376188265134016,2.0197600253639134
2025-08-01T13:00:00+00:00,2.3389076256801573,1.9880714818281338
