date,temperature,humidity,apparent_temp,precipitation
2025-01-01 00:00:00+00:00,23.65,72.65778,25.855238,0.0
2025-01-01 01:00:00+00:00,22.75,77.92875,25.009014,0.0
2025-01-01 02:00:00+00:00,22.35,78.35941,24.431309,0.0
2025-01-01 03:00:00+00:00,23.5,71.95089,25.605116,0.0
2025-01-01 04:00:00+00:00,26.05,59.873436,28.096188,0.0
2025-01-01 05:00:00+00:00,28.8,48.607838,30.68533,0.0
2025-01-01 06:00:00+00:00,31.0,41.09846,33.45217,0.0
2025-01-01 07:00:00+00:00,32.0,37.728546,34.490906,0.0
2025-01-01 08:00:00+00:00,32.4,37.240036,34.513634,0.0
2025-01-01 09:00:00+00:00,31.8,42.242184,33.70136,0.0
2025-01-01 10:00:00+00:00,30.55,49.99567,32.23691,0.0
2025-01-01 11:00:00+00:00,29.0,56.21477,30.680527,0.0
2025-01-01 12:00:00+00:00,27.6,58.56322,29.14254,0.0
2025-01-01 13:00:00+00:00,26.35,71.350685,28.826172,0.0
2025-01-01 14:00:00+00:00,25.95,74.189865,28.44812,0.0
2025-01-01 15:00:00+00:00,25.95,69.10726,27.856773,0.0
2025-01-01 16:00:00+00:00,26.3,59.555378,27.370684,0.0
2025-01-01 17:00:00+00:00,26.1,58.948227,27.268898,0.0
2025-01-01 18:00:00+00:00,25.65,60.540672,26.897854,0.0
2025-01-01 19:00:00+00:00,25.2,61.790222,26.682817,0.0
2025-01-01 20:00:00+00:00,24.4,65.4303,26.563654,0.0
2025-01-01 21:00:00+00:00,23.55,69.952415,25.962082,0.0
2025-01-01 22:00:00+00:00,23.25,71.23022,25.349483,0.0
2025-01-01 23:00:00+00:00,22.6,75.02833,24.561705,0.0
2025-01-02 00:00:00+00:00,21.95,79.04266,23.889517,0.0
2025-01-02 01:00:00+00:00,21.35,81.48272,23.169655,0.0
2025-01-02 02:00:00+00:00,21.25,82.24173,23.105694,0.0
2025-01-02 03:00:00+00:00,22.7,75.517555,24.640545,0.0
2025-01-02 04:00:00+00:00,25.35,63.004143,27.485672,0.0
2025-01-02 05:00:00+00:00,28.45,49.29177,30.211735,0.0
2025-01-02 06:00:00+00:00,30.9,39.525906,32.813038,0.0
2025-01-02 07:00:00+00:00,32.25,34.10716,34.251972,0.0
2025-01-02 08:00:00+00:00,32.75,33.265705,34.437435,0.0
2025-01-02 09:00:00+00:00,32.45,37.61204,33.961334,0.0
2025-01-02 10:00:00+00:00,31.55,42.981358,32.473698,0.0
2025-01-02 11:00:00+00:00,30.3,49.77498,31.645145,0.0
2025-01-02 12:00:00+00:00,29.0,50.38078,29.818443,0.0
2025-01-02 13:00:00+00:00,27.25,61.86203,28.846184,0.0
2025-01-02 14:00:00+00:00,26.9,60.826466,27.986988,0.0
2025-01-02 15:00:00+00:00,27.2,52.022873,27.262314,0.0
2025-01-02 16:00:00+00:00,27.0,52.303406,27.223856,0.0
2025-01-02 17:00:00+00:00,26.55,54.049572,27.10269,0.0
2025-01-02 18:00:00+00:00,26.05,55.140335,27.180851,0.0
2025-01-02 19:00:00+00:00,24.95,59.051163,26.369583,0.0
2025-01-02 20:00:00+00:00,24.1,62.330128,25.520567,0.0
2025-01-02 21:00:00+00:00,23.25,64.773445,24.48614,0.0
2025-01-02 22:00:00+00:00,22.55,66.086395,23.692516,0.0
2025-01-02 23:00:00+00:00,22.05,67.262085,23.196924,0.0
2025-01-03 00:00:00+00:00,21.65,68.04774,22.782673,0.0
2025-01-03 01:00:00+00:00,21.45,67.139534,22.341797,0.0
2025-01-03 02:00:00+00:00,21.15,67.51147,21.956999,0.0
2025-01-03 03:00:00+00:00,22.3,63.133003,22.81859,0.0
2025-01-03 04:00:00+00:00,25.45,50.745804,26.03249,0.0
2025-01-03 05:00:00+00:00,28.85,37.955284,28.96006,0.0
2025-01-03 06:00:00+00:00,31.25,31.174084,31.628445,0.0
2025-01-03 07:00:00+00:00,32.95,25.555532,34.0204,0.0
2025-01-03 08:00:00+00:00,33.35,24.65722,34.08935,0.0
2025-01-03 09:00:00+00:00,32.55,32.9965,33.23581,0.0
2025-01-03 10:00:00+00:00,31.5,38.443344,31.92387,0.0
2025-01-03 11:00:00+00:00,30.55,41.106087,30.943687,0.0
2025-01-03 12:00:00+00:00,28.8,48.453983,29.715626,0.0
2025-01-03 13:00:00+00:00,27.05,62.203785,28.84391,0.0
2025-01-03 14:00:00+00:00,25.7,67.36237,27.373407,0.0
2025-01-03 15:00:00+00:00,25.95,55.115456,26.110434,0.0
2025-01-03 16:00:00+00:00,26.15,46.224693,25.522577,0.0
2025-01-03 17:00:00+00:00,25.65,46.693615,25.185091,0.0
2025-01-03 18:00:00+00:00,24.75,49.58551,24.929476,0.0
2025-01-03 19:00:00+00:00,23.7,52.980267,24.213648,0.0
2025-01-03 20:00:00+00:00,22.85,55.229214,23.389584,0.0
2025-01-03 21:00:00+00:00,22.15,58.764393,23.025337,0.0
2025-01-03 22:00:00+00:00,21.35,61.507664,22.338638,0.0
2025-01-03 23:00:00+00:00,20.55,63.565186,21.295916,0.0
2025-01-04 00:00:00+00:00,20.1,62.640327,20.475195,0.0
2025-01-04 01:00:00+00:00,19.3,62.45904,19.357883,0.0
2025-01-04 02:00:00+00:00,19.3,62.2536,18.984901,0.0
2025-01-04 03:00:00+00:00,21.1,53.71103,20.306086,0.0
2025-01-04 04:00:00+00:00,24.35,44.102093,23.648916,0.0
2025-01-04 05:00:00+00:00,28.55,28.832724,27.46059,0.0
2025-01-04 06:00:00+00:00,31.45,20.719835,30.225178,0.0
2025-01-04 07:00:00+00:00,32.9,16.381573,32.297714,0.0
2025-01-04 08:00:00+00:00,32.9,18.187265,32.144035,0.0
2025-01-04 09:00:00+00:00,30.95,32.5555,30.831127,0.0
2025-01-04 10:00:00+00:00,30.0,31.658512,28.928741,0.0
2025-01-04 11:00:00+00:00,29.6,31.652746,28.693115,0.0
2025-01-04 12:00:00+00:00,28.35,39.328968,28.091679,0.0
2025-01-04 13:00:00+00:00,26.45,54.36918,27.439966,0.0
2025-01-04 14:00:00+00:00,25.65,59.780533,26.954357,0.0
